comment,f_name,generated,gold,line_id,rank,Category
if mat at j and i is E increment cnt,44529267-329A-53,if ( mat [ j ] == i ) cnt ++ ;,if (mat[j][i] == 'E') cnt++;,19,fail,Generation wrong
s[occur[i][j] + k] = letter - a + A,12868321-95A-5,s [ occur [ i ] [ j ] + k ] = 'letter' - a + A ;,s[occur[i][j] + k] = letter - 'a' + 'A';,51,fail,"Reasonable,  but needs type disambiguation"
"let value1, value2, val, a, b be integers with val = 0",36782767-57A-42,"int value1 , value2 , val , a , b = 0 ;","int value1, value2, val = 0, a, b;",21,fail,Generation wrong
"if a[1] is equal to 4, then assign 4 to pic[2][2], pic[3][2], pic[5][2], and pic[4][2]",48677231-475A-42,"if ( a [ 1 ] == 4 ) pic [ 2 ] [ 2 ] = 4 , pic [ 3 ] [ 2 ] , pic [ 5 ] [ 2 ] , pic [ 4 ] [ 2 ] ;",if (a[1] == 4) { pic[2][2] = pic[3][2] = pic[5][2] = pic[4][2] = 4; },47,fail,Generation wrong
else if p[3] and (s[1] || s[3] || l[3] || r[3] || r[2] || l[4]),44692317-812A-1,} else if ( p [ 3 ] && ( s [ 1 ] || s [ 3 ] || l [ 3 ] || l [ 3 ] || r [ 2 ] || l [ 4 ] ) ) {,else if (p[3] && (s[1] || s[3] || l[3] || r[3] || r[2] || l[4])),16,fail,Generation wrong
"call dfs(x + 1, y) if x < m - 1 and v[y][x + 1] is true and u[y][x + 1] is false",19155767-193A-54,"if ( x < m - 1 && y ) dfs ( x + 1 , y ) , u [ y ] [ x + 1 ] == true ? u : u [ y + 1 ] ;","if (x < m - 1 && v[y][x + 1] && !u[y][x + 1]) dfs(x + 1, y);",8,fail,Generation wrong
for i = 0 to the length of a,49111236-989A-13,for ( int i = 0 ; i < a . length ( ) ; i ++ ) {,for (int i = 0; i <= a.length() - 3; i++) {,8,fail,Annotation semantically wrong
"else if a is ""saturday""",48455772-724A-10,"else if ( a == ""saturday"" )","    } else if (strcmp(a, ""saturday"") == 0) {",18,fail,Generation wrong
"for a = i and k = 0 while k < p, dividing a by 7 and incrementing k, add 1 to used[a % 7]",42273455-685A-54,"for ( int a = i , k = 0 ; k < p ; a ++ , a ++ ) used [ a % 7 ] ++ ;","for (int a = i, k = 0; k < p; a /= 7, k++) used[a % 7] += 1;",22,fail,Generation wrong
"read n new elements into a, b and c in a loop",48408114-498A-54,for ( i = 0 ; i < n ; i ++ ) cin >> a [ i ] >> b [ i ] ;,for (int i = 0; i < n; i++) { cin >> a[i] >> b[i] >> c[i]; },6,fail,Generation wrong
increment suum by diff,48442944-1090A-43,suum += diff ;,sum += diff;,25,fail,"Reasonable, var name typo in annotation"
create long long int v1 = (n + 1) / k,45570973-963A-13,long long int v1 = ( n + 1 ) / k ;,long long int vl = (n + 1) / k;,29,fail,"Reasonable, var name typo in annotation"
"for b = first index of 0 in d to b is not end of d, incrementing b",37087299-558A-1,for ( b = d . begin ( ) ; b != d . end ( ) ; b ++ ) {,"for (map<int, int>::iterator b = d.find(0); b != d.end(); b++) {",26,fail,"Reasonable,  but needs type disambiguation"
